1.wav,0 
 2.wav,58 
 3.wav,48 
 4.wav,73 
 5.wav,15 
 6.wav,64 
 7.wav,44 
 8.wav,2 
 9.wav,0 
 10.wav,27 
 11.wav,95 
 12.wav,100 
 13.wav,69 
 14.wav,71 
 15.wav,76 
 1.wav,22 
 2.wav,26 
 3.wav,74 
 4.wav,81 
 5.wav,16 
 6.wav,62 
 7.wav,6 
 8.wav,10 
 9.wav,60 
 10.wav,13 
 11.wav,100 
 12.wav,86 
 13.wav,55 
 14.wav,54 
 15.wav,58 
 1.wav,4 
 2.wav,50 
 3.wav,75 
 4.wav,63 
 5.wav,0 
 6.wav,57 
 7.wav,29 
 8.wav,18 
 9.wav,6 
 10.wav,26 
 11.wav,53 
 12.wav,69 
 13.wav,36 
 14.wav,47 
 15.wav,63 
 1.wav,23 
 2.wav,35 
 3.wav,70 
 4.wav,38 
 5.wav,50 
 6.wav,65 
 7.wav,94 
 8.wav,8 
 9.wav,0 
 10.wav,40 
 11.wav,28 
 12.wav,61 
 13.wav,100 
 14.wav,40 
 15.wav,65 
 1.wav,0 
 2.wav,50 
 3.wav,100 
 4.wav,50 
 5.wav,88 
 6.wav,80 
 7.wav,16 
 8.wav,36 
 9.wav,3 
 10.wav,19 
 11.wav,39 
 12.wav,100 
 13.wav,62 
 14.wav,72 
 15.wav,96 
 1.wav,0 
 2.wav,11 
 3.wav,60 
 4.wav,95 
 5.wav,39 
 6.wav,30 
 7.wav,6 
 8.wav,51 
 9.wav,69 
 10.wav,25 
 11.wav,100 
 12.wav,92 
 13.wav,85 
 14.wav,76 
 15.wav,35 
 1.wav,13 
 2.wav,41 
 3.wav,68 
 4.wav,84 
 5.wav,63 
 6.wav,38 
 7.wav,17 
 8.wav,44 
 9.wav,59 
 10.wav,36 
 11.wav,100 
 12.wav,90 
 13.wav,72 
 14.wav,78 
 15.wav,53 
 1.wav,26 
 2.wav,40 
 3.wav,50 
 4.wav,79 
 5.wav,31 
 6.wav,84 
 7.wav,66 
 8.wav,24 
 9.wav,11 
 10.wav,0 
 11.wav,90 
 12.wav,56 
 13.wav,71 
 14.wav,20 
 15.wav,100 
 
