1.wav,94 
 2.wav,61 
 3.wav,39 
 4.wav,61 
 5.wav,44 
 6.wav,76 
 7.wav,86 
 8.wav,30 
 9.wav,65 
 10.wav,20 
 11.wav,7 
 12.wav,100 
 13.wav,34 
 14.wav,26 
 15.wav,0 
 1.wav,81 
 2.wav,43 
 3.wav,100 
 4.wav,8 
 5.wav,17 
 6.wav,77 
 7.wav,57 
 8.wav,50 
 9.wav,4 
 10.wav,77 
 11.wav,83 
 12.wav,88 
 13.wav,92 
 14.wav,7 
 15.wav,52 
 1.wav,72 
 2.wav,63 
 3.wav,9 
 4.wav,57 
 5.wav,83 
 6.wav,73 
 7.wav,90 
 8.wav,59 
 9.wav,66 
 10.wav,30 
 11.wav,52 
 12.wav,84 
 13.wav,41 
 14.wav,0 
 15.wav,49 
 1.wav,83 
 2.wav,75 
 3.wav,9 
 4.wav,40 
 5.wav,26 
 6.wav,96 
 7.wav,56 
 8.wav,32 
 9.wav,65 
 10.wav,13 
 11.wav,20 
 12.wav,100 
 13.wav,47 
 14.wav,0 
 15.wav,3 
 1.wav,44 
 2.wav,68 
 3.wav,87 
 4.wav,27 
 5.wav,9 
 6.wav,34 
 7.wav,0 
 8.wav,80 
 9.wav,50 
 10.wav,27 
 11.wav,60 
 12.wav,100 
 13.wav,16 
 14.wav,42 
 15.wav,84 
 1.wav,96 
 2.wav,85 
 3.wav,24 
 4.wav,63 
 5.wav,82 
 6.wav,93 
 7.wav,68 
 8.wav,85 
 9.wav,76 
 10.wav,15 
 11.wav,52 
 12.wav,100 
 13.wav,41 
 14.wav,0 
 15.wav,34 
 1.wav,92 
 2.wav,67 
 3.wav,26 
 4.wav,58 
 5.wav,50 
 6.wav,72 
 7.wav,85 
 8.wav,43 
 9.wav,78 
 10.wav,17 
 11.wav,21 
 12.wav,100 
 13.wav,46 
 14.wav,0 
 15.wav,13 
 
